Date,Day,Fajr,FajrIqamah,Sunrise,Dhuhr,DhuhrIqamah,Asr,AsrIqamah,Maghrib,MaghribIqamah,Isha,IshaIqamah,Tomorrow_Fajr
01/01/2024,Monday,06:37:00,06:42:00,08:31:00,12:10:00,12:15:00,13:35:00,13:40:00,15:49:00,15:54:00,17:44:00,17:49:00,06:37:00
02/01/2024,Tuesday,06:37:00,06:42:00,08:31:00,12:11:00,12:16:00,13:36:00,13:41:00,15:50:00,15:55:00,17:45:00,17:50:00,06:37:00
03/01/2024,Wednesday,06:37:00,06:42:00,08:31:00,12:11:00,12:16:00,13:37:00,13:42:00,15:51:00,15:56:00,17:46:00,17:51:00,06:37:00
04/01/2024,Thursday,06:37:00,06:42:00,08:30:00,12:12:00,12:17:00,13:38:00,13:43:00,15:53:00,15:58:00,17:47:00,17:52:00,06:37:00
05/01/2024,Friday,06:36:00,06:41:00,08:30:00,12:12:00,12:17:00,13:39:00,13:44:00,15:54:00,15:59:00,17:48:00,17:53:00,06:37:00
06/01/2024,Saturday,06:36:00,06:41:00,08:29:00,12:13:00,12:18:00,13:40:00,13:45:00,15:55:00,16:00:00,17:49:00,17:54:00,06:36:00
07/01/2024,Sunday,06:36:00,06:41:00,08:29:00,12:13:00,12:18:00,13:41:00,13:46:00,15:57:00,16:02:00,17:50:00,17:55:00,06:36:00
08/01/2024,Monday,06:35:00,06:40:00,08:28:00,12:14:00,12:19:00,13:42:00,13:47:00,15:58:00,16:03:00,17:52:00,17:57:00,06:36:00
09/01/2024,Tuesday,06:35:00,06:40:00,08:27:00,12:14:00,12:19:00,13:44:00,13:49:00,16:00:00,16:05:00,17:53:00,17:58:00,06:35:00
10/01/2024,Wednesday,06:35:00,06:40:00,08:27:00,12:14:00,12:19:00,13:45:00,13:50:00,16:01:00,16:06:00,17:54:00,17:59:00,06:35:00
11/01/2024,Thursday,06:34:00,06:39:00,08:26:00,12:15:00,12:20:00,13:46:00,13:51:00,16:03:00,16:08:00,17:55:00,18:00:00,06:35:00
12/01/2024,Friday,06:34:00,06:39:00,08:25:00,12:15:00,12:20:00,13:48:00,13:53:00,16:05:00,16:10:00,17:57:00,18:02:00,06:34:00
13/01/2024,Saturday,06:33:00,06:38:00,08:24:00,12:16:00,12:21:00,13:49:00,13:54:00,16:06:00,16:11:00,17:58:00,18:03:00,06:34:00
14/01/2024,Sunday,06:32:00,06:37:00,08:23:00,12:16:00,12:21:00,13:50:00,13:55:00,16:08:00,16:13:00,18:00:00,18:05:00,06:33:00
15/01/2024,Monday,06:32:00,06:37:00,08:22:00,12:16:00,12:21:00,13:52:00,13:57:00,16:10:00,16:15:00,18:01:00,18:06:00,06:32:00
16/01/2024,Tuesday,06:31:00,06:36:00,08:21:00,12:17:00,12:22:00,13:53:00,13:58:00,16:12:00,16:17:00,18:02:00,18:07:00,06:32:00
17/01/2024,Wednesday,06:30:00,06:35:00,08:20:00,12:17:00,12:22:00,13:55:00,14:00:00,16:13:00,16:18:00,18:04:00,18:09:00,06:31:00
18/01/2024,Thursday,06:29:00,06:34:00,08:19:00,12:17:00,12:22:00,13:56:00,14:01:00,16:15:00,16:20:00,18:05:00,18:10:00,06:30:00
19/01/2024,Friday,06:28:00,06:33:00,08:18:00,12:18:00,12:23:00,13:58:00,14:03:00,16:17:00,16:22:00,18:07:00,18:12:00,06:29:00
20/01/2024,Saturday,06:27:00,06:32:00,08:16:00,12:18:00,12:23:00,13:59:00,14:04:00,16:19:00,16:24:00,18:09:00,18:14:00,06:28:00
21/01/2024,Sunday,06:26:00,06:31:00,08:15:00,12:18:00,12:23:00,14:01:00,14:06:00,16:21:00,16:26:00,18:10:00,18:15:00,06:27:00
22/01/2024,Monday,06:25:00,06:30:00,08:14:00,12:18:00,12:23:00,14:02:00,14:07:00,16:23:00,16:28:00,18:12:00,18:17:00,06:26:00
23/01/2024,Tuesday,06:24:00,06:29:00,08:12:00,12:19:00,12:24:00,14:04:00,14:09:00,16:25:00,16:30:00,18:13:00,18:18:00,06:25:00
24/01/2024,Wednesday,06:23:00,06:28:00,08:11:00,12:19:00,12:24:00,14:05:00,14:10:00,16:27:00,16:32:00,18:15:00,18:20:00,06:24:00
25/01/2024,Thursday,06:22:00,06:27:00,08:09:00,12:19:00,12:24:00,14:07:00,14:12:00,16:29:00,16:34:00,18:17:00,18:22:00,06:23:00
26/01/2024,Friday,06:21:00,06:26:00,08:08:00,12:19:00,12:24:00,14:08:00,14:13:00,16:31:00,16:36:00,18:18:00,18:23:00,06:22:00
27/01/2024,Saturday,06:19:00,06:24:00,08:06:00,12:20:00,12:25:00,14:10:00,14:15:00,16:33:00,16:38:00,18:20:00,18:25:00,06:21:00
28/01/2024,Sunday,06:18:00,06:23:00,08:05:00,12:20:00,12:25:00,14:12:00,14:17:00,16:35:00,16:40:00,18:22:00,18:27:00,06:19:00
29/01/2024,Monday,06:17:00,06:22:00,08:03:00,12:20:00,12:25:00,14:13:00,14:18:00,16:37:00,16:42:00,18:23:00,18:28:00,06:18:00
30/01/2024,Tuesday,06:15:00,06:20:00,08:01:00,12:20:00,12:25:00,14:15:00,14:20:00,16:39:00,16:44:00,18:25:00,18:30:00,06:17:00
31/01/2024,Wednesday,06:14:00,06:19:00,08:00:00,12:20:00,12:25:00,14:17:00,14:22:00,16:41:00,16:46:00,18:27:00,18:32:00,06:15:00
01/02/2024,Thursday,06:13:00,06:18:00,07:58:00,12:21:00,12:26:00,14:18:00,14:23:00,16:43:00,16:48:00,18:28:00,18:33:00,06:14:00
02/02/2024,Friday,06:11:00,06:16:00,07:56:00,12:21:00,12:26:00,14:20:00,14:25:00,16:45:00,16:50:00,18:30:00,18:35:00,06:13:00
03/02/2024,Saturday,06:10:00,06:15:00,07:54:00,12:21:00,12:26:00,14:21:00,14:26:00,16:47:00,16:52:00,18:32:00,18:37:00,06:11:00
04/02/2024,Sunday,06:08:00,06:13:00,07:52:00,12:21:00,12:26:00,14:23:00,14:28:00,16:49:00,16:54:00,18:34:00,18:39:00,06:10:00
05/02/2024,Monday,06:06:00,06:11:00,07:50:00,12:21:00,12:26:00,14:25:00,14:30:00,16:51:00,16:56:00,18:36:00,18:41:00,06:08:00
06/02/2024,Tuesday,06:05:00,06:10:00,07:48:00,12:21:00,12:26:00,14:26:00,14:31:00,16:53:00,16:58:00,18:37:00,18:42:00,06:06:00
07/02/2024,Wednesday,06:03:00,06:08:00,07:46:00,12:21:00,12:26:00,14:28:00,14:33:00,16:56:00,17:01:00,18:39:00,18:44:00,06:05:00
08/02/2024,Thursday,06:01:00,06:06:00,07:44:00,12:21:00,12:26:00,14:30:00,14:35:00,16:58:00,17:03:00,18:41:00,18:46:00,06:03:00
09/02/2024,Friday,05:59:00,06:04:00,07:42:00,12:21:00,12:26:00,14:31:00,14:36:00,17:00:00,17:05:00,18:43:00,18:48:00,06:01:00
10/02/2024,Saturday,05:58:00,06:03:00,07:40:00,12:21:00,12:26:00,14:33:00,14:38:00,17:02:00,17:07:00,18:45:00,18:50:00,05:59:00
11/02/2024,Sunday,05:56:00,06:01:00,07:38:00,12:21:00,12:26:00,14:35:00,14:40:00,17:04:00,17:09:00,18:47:00,18:52:00,05:58:00
12/02/2024,Monday,05:54:00,05:59:00,07:36:00,12:21:00,12:26:00,14:36:00,14:41:00,17:06:00,17:11:00,18:49:00,18:54:00,05:56:00
13/02/2024,Tuesday,05:52:00,05:57:00,07:34:00,12:21:00,12:26:00,14:38:00,14:43:00,17:08:00,17:13:00,18:50:00,18:55:00,05:54:00
14/02/2024,Wednesday,05:50:00,05:55:00,07:32:00,12:21:00,12:26:00,14:39:00,14:44:00,17:10:00,17:15:00,18:52:00,18:57:00,05:52:00
15/02/2024,Thursday,05:48:00,05:53:00,07:30:00,12:21:00,12:26:00,14:41:00,14:46:00,17:12:00,17:17:00,18:54:00,18:59:00,05:50:00
16/02/2024,Friday,05:46:00,05:51:00,07:28:00,12:21:00,12:26:00,14:43:00,14:48:00,17:15:00,17:20:00,18:56:00,19:01:00,05:48:00
17/02/2024,Saturday,05:44:00,05:49:00,07:25:00,12:21:00,12:26:00,14:44:00,14:49:00,17:17:00,17:22:00,18:58:00,19:03:00,05:46:00
18/02/2024,Sunday,05:42:00,05:47:00,07:23:00,12:21:00,12:26:00,14:46:00,14:51:00,17:19:00,17:24:00,19:00:00,19:05:00,05:44:00
19/02/2024,Monday,05:40:00,05:45:00,07:21:00,12:21:00,12:26:00,14:47:00,14:52:00,17:21:00,17:26:00,19:02:00,19:07:00,05:42:00
20/02/2024,Tuesday,05:38:00,05:43:00,07:19:00,12:21:00,12:26:00,14:49:00,14:54:00,17:23:00,17:28:00,19:04:00,19:09:00,05:40:00
21/02/2024,Wednesday,05:36:00,05:41:00,07:16:00,12:21:00,12:26:00,14:50:00,14:55:00,17:25:00,17:30:00,19:06:00,19:11:00,05:38:00
